iSorWkcnwf	.caeCcaea Wkideh inof wncnuh iawfiawdwh  cnuSuf ,cSwtogwncnuh cnwf egukur Wkcnwf	n	
irWnikWkcnwf	.evenuLua WLwa cnegiawscawj  iawgIriawk Irit ,caeSwf egIm ,iawgulwdwb egWyigwb  cawv urwvcswvudiLea uLwvOb ubwswk .evencneh  caekwtWkcnwf Wvcnegivelukea cnukwkwtcnupcauf wncnuh  cnehiLwfcaea cSokiLwfed egcaerubcSwv InWncnuhim  .caeairWnik wncnuh iawfeyiv cnubwswk	n	
cnurukWkcnwf	.cnunidehiv	m	
urwtokWkcnwf	.evencneh  caeaWkcnwf Ehiv cnutwa InWncnuh ctwfudnif  egurwtok egutwvWbim .caetwvWb egurwtok	n	
iDnwdWkcnwf	.iLoh WviawfiLug iaWaWkcnwf ,iawgWkcnwf  wdwfWkcnwf WTcawhwb ,iaWaWkcnwf Wlif egcnwf (2)  .uDnwgcSum WTcawhwfih egWkcnwf Ehiv cnutwa (1)	n	
cnutegcSwDnutWkcnwf	.caemwnWyik cSwkwtog WtwguDnwgidor  WLwa iawguLwvOb eguhWbil ihevid (.s)	m	
uDnutWkcnwf	.iawbuDnut wncnuh iawfiawvcawl  udugudug iawgubWsih ELug WSwf Ehiv cnegiawSwv  egWkcnwf Wviawfiawdwh cnunwf egukur Wkcnwf	n	
cnuhejWkcnwf	.cnuscaej uCivus iawkwTcSwmudeh  ctogErubnea Wkcnwf Wrubnwa cnuTcnwrwk	m	
ifwrukcnwf	.eveaedwv cSwtwfcnwk cniawnig  cSwrwv ,ifwruk wlwhwkim .caepctwruk egiawluk  cnwfikih wncnuh iawgunimugid iawhcaeaiCcnia  cSwDWf ugidwmih (irugnuautwfcnwk)	n	
irukcnwf	.iawb egunwf wncnuh iawgEret egIrukcaur	n	
uDnwgirukcnwf	.iawbegunwf Enemih iawgEret egIrukcaur	n	
cnuherukcnwf	.cnuscairik cnwf	m	
cnuLukcnwf	.eveaInuved caeDnwl cnumuvog  cnehim "iaOnwf" iawfiawlctwa iawgcaeCcaea wtwvun  Wgiawg egcaehIm WTcawhwb cSwkwnwf cseviawgcaeLok  emcnok uriaELuk urwviLukim .evekerwviLuk  ELuk ukwywb wnig cnegiawliawhwb cSwywbed cnuhIm  ELuk Iaim .caerwviLuk ELuk cnunehcnwa ihevid	m	
cnuhejeDekcnwf	.cnuhejUfcnwf (.N)	m	
Wkokcnwf	.Wkok wncnuh iawgiawluk egunwfikih	n	
irOkcnwf	!Wlwb irOk .irOk wncnuh iawfiawdwh cnunwf	n	
cnunwbirOkcnwf	.cnuscaea WLoa cSwrWb cnegiawSwv  egcaeCcaeaea caeDnwgcnwfea cnehenEhej iawgItwmuLWruf  irit cnunOr ulugnuh egcaeDnwgctwfcnib  iawgIheCcaea wdwf iDumcswv ,iaWhwgcswg  wncnuh iawfiawrwa cSwCcawm cniaeret eguLWruf	m	
irwacnwf	.iLwfcaea cSokiLwfed egcaenwf	n	
cnulutwacnwf	.cnulctwa WhIm egiawbcaenwa  iawgiawg egWhImWd Wfevud cnegiawfihcnwf	m	
uDnwgiSwtcsiacnwf	.uDnwgiSwtcsia wncnuh  iawfiten caemwkinWb uLWr ,caemwkiLub csevcaea	n	
irwvcnwf	.urwhwf wtwvun urub  WhwjcSwmufih Wkih iawmwd iawgEretuLwf cnwf Wmwdcnea  WviawfWdwh (cnegiawvuLug cnwf unOr) cnwmwd Wkih  cnWdumwk irevcswm (ilencnwk) .Wrus (.s)	n	
urwvcnwf	.iruhurwvctih (3) .ctogiSwkurwh  wncnuh iawgiawbik egcaehIm (2) :uzWjwm .cnwkurwh  wncnuh iawgItekwt wdwf wtwkea iaWDnwgwd (1)	n	
cnuruhurwvcnwf	.cnuruh cnwkurwh iawgiawtwkea iaWDnwgwd	m	
cnutenurwvcnwf	.cnuten cnwkurwh egiawtwkea iaWDnwgwd	m	
cnuvuLwgnwrurwvcnwf	.cnuruhurwvcnwf	m	
cnureaurwvcnwf	.cnuawaurWb cSwTcawh cnehirif (3)  .cnurea caerWb (2) .cnuawaiLur (1) :uzWjwm	m	
cnubEfurwvcnwf	.cnuDnekurWb :uzWjwm	m	
cnulurwvcnwf	.cnuawneg cnwkurwh  cSwawyim cnegiawhwjunef iheCcaea wdwfOruf iLwv	m	
uLwvcnwf	.cnwtwncnuh iawfiawlurwhcnwf iawgukur	n	
cnuvogcSwtwvcnwf	.cnuvog  utwkcawswm wrWDcnwb cSwncnuhIm ukwywb iawguhia	m	
cnwnutwvcnwf	.cnwnELua iawyik cSokumcnWa cSwncnuhIm	n	
cnulwkEbutwvcnwf	.cnuhIm Wviawfigen cSokwBcaWK cSwkwmwk ikwv	n	
cnuhejutwvcnwf	.evekehwb unuLuaenub cSwmuail  cnwn egWhIm iawgcaeTcsil cniaea ,uriaWyil  cawtuTcsil egcnuhIm EhejcnWd cSwnwtcnwt ikea  wtwvun cSwmwkcnwk ikea iawguhia Iaim .cnuvoh cnuhIm  cniaeret egcnutiycawr cSwmwkcnwk ikea cnutWrwf  egcnirev eguSwrcSwr wtwvun ,cnurWkurws	m	
cnuhImegcaetwvcnwf	.cnuhIm egcawbcaea (2)  .cnuhIm egcaetwAWmwj Wviawfiveruk wgwhWf (1)	n	
ctwvcnwf	.ITis Wvunof  iawfeyil iawgutwvcnwf (4) .iawb (3) .uTcsil  (2) .caeCcaea wncnuh iawfimin csog cnumwvinwh  cSwLokIruk cSokugidinwh cSwtogWv cSwairwaed cnegiLug  iaWTcSolia iawgutWrwfed egISoa egunwf (1)	m	
cnuLeactwvcnwf	.cnuscaea ctwvcnwf iawfiawdwh wtiDcnwf	m	
cnuvunofctwvcnwf	.cnuvunof iawfeyil iawgutwvcnwf  cawtcawtcnwk Ehejcnwgcnwa cSwkwkenwa ukwkea	m	
cnuyilctwvcnwf	.cnuyil iawgutwvcnwf cnutog egumudeh wtiDcnwf	m	
wLevcnwf	.caeCcaea wncnoa iawfiawdwh  cnwfih cswm idukiduk cnEretuLwf (.s)	n	
cswmcnwf	.cswmWhcnwf (.s)	n	
uDUmcnwf	,iTufij idukiduk wncnuh iawfiawdwh cnunwf	n	
uLWrufcnwf	.uLWruf  wncnuh iawfcSokWyih cnIlwSot wtwvun cnwf	n	
cawLufcnwf	.cawLuf wncnuh iawfiawhwjcnwf	n	
ilwLufcnwf	.ilwLuf wncnuh iawfiawhwjcnwf iawtwgcniDnwd	n	
WhiLufcnwf	.WhiLuhcnwf (.N)	n	
cnuhejUfcnwf	.evekemwk Wruk  cSwmunidun wywa WdIm cSwkur Iaim .cnuSokcnwfegukur  cSwtogWrOfun cnwf egukur wncnuh iawgIriawk	n	
cnuvunofcnwf	.cnuvunof  eyil iawgcaeairwa egutwvcnwf cawturumwa Ehejcnwruk  Wkwtcnugcnea Ehejcnwgcnwa Wkwtcnwk ikeaikea		
wdcnwf	.cnuniaedISia (.db)	m	
iDnwdcnwf	.evencniDnog egulwhiaikih  Inwncnoa iawfiawdwh uLokiDnwdim .uLokiDnwd  ELugcneg cnwrukurwvcaeaWl uriaWhwjWleyil	n	
Wrwdcnwf	.cnurutim (.db)	n	
urWkwdcnwf	.cnurutim (.db)	n	
whwrinwkwlidcnwf	.whwrcnud (2)  .whwr EdcniheCcaea Wkcawk cnegiawscawjcnwf (1)	n	
udcnwf	.wrWt (.db)	n	
inwfudcnwf	.ctelib (.db)	n	
cnumedcnwf	.cnuawnegcnwf cSwSodEg cnulwv (3)  .cnuludorcnwf iawguLwfwlit cnWmwdwkih iawkwTcSwmuaid  (umwkirevcswm Wruk cnegiawhwj wkihErid)  umwkirevcswmWrus (.s) (2) .cnurukurwhcnwf  cSwtogWvWvin iawgutib wtwvun iawgufwLuf (1)	m	
itcnwf	.urwv (5) .uLokcsia (4) .caekur  egItcnwf udem :ulWsim .urumuA (3) .iawb (2)  .caeLufEb egItcnwfItwm :ulWsim wjwrwd (1)	n	
iritcnwf	.cnehirif (.db)	an	
iSotcnwf	.udemed WDub egunwf cnegiSef  cnubWsih WviawfWLwf cawtctwvcnwf egunwf	n	
whekWTcawhwbiSotcnwf	.whek wnwvcnit egufwLuf	n	
urubwbiSotcnwf	.WhImwredurWb eguDnwgiSwh :uzWjwm	n	
iDwbiSotcnwf	.uDwaWvcaia cnegiawhwj cSwrWb  iawgItwmcnib cnuSufuDnwb eguDnwgiSotcnwf	n	
uDubiSotcnwf	.uDub egunwf	n	
cnWrugumiSotcnwf	.eveawfiawmwd caekwt ugnor ugid egiawlukiSumctwr  Inwncnuhim .caetwvWb egumWrugum	n	
urwhwfiSotcnwf	.itwfudnwk wncnuh iawfednwb cniSotcnwf	n	
cawLufiSotcnwf	.cawLuf wncnuh iawfiawLwa cniSotcnwf	n	
uLwdiSotcnwf	.eveawfiawhwruk iawhwjWl cSwfed  ,Inwncnuh cniawnig .evekeLwd wncneg cniaWyiDcnia  iawguhia Iaim .eveawfiawhwjWl Inwncnuh iawgIm  .uLwdwncnuh iawfiawdwh cniSotcnwf ukurWt	n	
wyidiSotcnwf	.wyid  Wlef cnegiawLwt uDubiSotcnwf wncnuh iawfevWf	n	
cnulcnwf	.cnurukWyih cnunwf	m	
uDnwgcnwf	.urodcnwf (2) .cnwf wncnuh iawfediv  iawgunimugid egunwyir urwtwh cnwyircnit (1)	n	
urwbihuDnwgcnwf	.urwbihcnwf	n	
iawbuDnwgcnwf	.iawbWLwa  cSwdorcnwf uriaWfihcswm cnegiawludorcnwf (.a)	n	
iLwmuDnwgcnwf	.iLwmWhwj cnwfih WLub iawguDnwgWbWb  wncnwv WLub wncnuh iawgutibcnwf	n	
wtErufuDnwgcnwf	.caeawtEruf IlWyiK  Wnub cSwmwkwncnef iawgiawfis egcaeaiDnobcnwf	n	
iLotuDnwgcnwf	.eveaenEbun InUn iawgcaerwhwf udwm ItELua  iawgukwtuDnwkWm cswmim .evekehwm wncnuh iawgutWrwf  cSwduDnwb csevctwfcnwk idwa ,wncnuh iawgIriawk  cSwrwv WtwfUgwniawb irwtok egutWrwf cSwduDnwb  cSwfWliK Whwmcswm cnehea Iaim .eveketwvWb  egILot Iaim .caehwm wncnuh cSokugid cSokitwf	n	
cnutwgunwtwgcnwf	.cnuvun  ctogEveruh cnegihejwmwh iawgcaenwt (.s)	m	
cswgcnwf	.caemwn Wyik cSwkwycawb egumwh  (2) (.eveawgEret egIm Inenemih csevctwfcnwkWLub  ,iaWkwtctwvWb egiawDukiDcnwh) .IfWhwj iawgIheCcaea  ,ihefWhwj iawgurWf ,Uf Whwj iawgIheCcaea :ulWsim  .ctogwncnef cSwlol iawgcaelwdwb wncnwa cSwnwtcnwt  iaWSwscaeCcaea cnubwbws egcaeaWairITckeb (1)	n	
igcnwf	.cnwf wncnuh iawfediv	n	
unEsuhigcnwf	.caepctiaus Erid wlwhwk ugIfwr (.d)	n	
unOrigcnwf	.unOrWSwv iawkwTcSwmudivigcnwf	n	
Wnukigcnwf	.Wnuk iteDob WrukcnunEb cnwrutwf  iawgItwmcnib iawgnWtcnwt wdwf egurwh udUlWm	n	
cnuLeaigcnwf	.cnuLeaWyih Itugwv iawgInOd itwmwgnwa	m	
cnwvigcnwf	.ctwvcnwf  wncnuh iawfiawscaIrik iawkwTcSwmunivigcnwf	n	
cnunivigcnwf	.cnunumea cSwkwtogikwv  caekwtctwvcnwf cnegiawTcawhwb iawgcaenimurud  ikwv cnegiawLug unOr cSwf cnit iawgIlia cnit	m	
cnudivigcnwf	.cnunivigcnwf	m	
cnuLemigcnwf	.cnuLea egcnwf cSwmuvWvin wtwvun cSwmurukWvin	m	
Wlifigcnwf	.iawvinWhwj cnukwCcaea csevcnUnea wtwvun cniawlif  itcnemis wtwvun ,cniDukwl iawguSwduLWruf  cSwmurukWvin uLWruf ,iaWycawguSwd egunwtcnwt  Wviawfenub iawgurwbcmwn wnwved (3) .cnwtWvWgnib  Wgnih cnuhIm ELua iawgIrubItwm egEgEg wncnuh  iawfiawnWr cSokcsua ,cSwtogEveLua iawgIrubItwm  (2) .cnwt Wviawfiawdwh cSwtogETcaeheb iheCcaea  iawLwaWlif Itwmurwkwv cswruh egEgEg (1)	n	
ctwbIligcnwf	.cnuaek EdcSwnuhIm unuLua iawgutwkcawswmea  ,iawmInumin cSokWyih caeaeg iawgunWmwzuhia	n	
cnuligcnwf	.cnurukWyih  caeLWruf cnegcSokcnunEb cnwf wncnuh iawfediv	m	
egcnwf	.eg wncnuh iawfiawLwa cnunwf (2) .igcnwf (1)	n	
iDnobegcnwf	.caeaiDnob egunwf wncnuh iawfediv	n	
cnuvureaegcnwf	.cnunid  cSwtwa egcnuhIm Ebit ItwmuLWruf uLokegEa iawvuLug  cawtuDnwgcnwf wnig uriaWligcnwf iawgcaeLWruf	m	
cnuLemegcnwf	.cnuLemigcnwf	m	
Wlefegcnwf	.Wlifigcnwf (.N)	n	
ilEgcnwf	.wyom (.db)	an	
ivogcnwf	.eveawgnWtcnwt  wncnuh iheCcaea wdwf cnwf ,urwd ,InELua  cniawnigim .evekeCcaea Emuf wncnuh iawfeduTcaoa  iawgiawluk iSotWyifuDwm Iaim .caeCcaea Erid	n	
cnulcSwNcnwf	.cnuTcaeheb iawgInwf iheCcaeaWkinof  wdwf unWjubWluG (2) .cnuvcaEb iawgInwf  urukwh cSwmuruk cnwhEh cSwncniduk wredurwv uriaWhiv  wtwvun ,cSwaWjcauk Whiv Wrufun cswvud (1)	m	
cnureaWNcnwf	.cnurea cSwaegurwh  cnegiawfih inwf cSwncnuhIm Wyik udUlWm	m	
cnuaidWNcnwf	.cnuaidcneg cawtWbnurinwf  cSwCcawmiritwa iawkwTcSwmunid cSwnuhIm  wncnwa cnuSwrcSwr cnegId utwvuAwd cSwdUlWmuDob	m	
iTcawhwscnwf	.caehwf whidwh (2) .caehwfcswLodcswf (1)	n	
irwtctwhwscnwf	.caehwfwhidctwh	n	
ugcnwscnwf	.iSot ,Um ,cSoa  ,uawm ,iruk :ulWsim .ctwvWbcswf egcaehwg	n	
wncnwvwscnwf	.caehwfcsWscnwf (3) .caehwfwhidcswf (2)  .udwdwa wnwvcswf csWscnwf egumunug (1)	n	
csIvwscnwf	.caehwfwhided  (2) .udwdwa wnwv csIvwscnwf egumunug (1)	n	
wnWdwrufwscnwf	.cnurIzwv cswf Wvwbcait cnwvwgcnih  cawtcnwk egumwkcswr iawguhia (.db)	n	
csIritwscnwf	.caehwfcsIrit (3) .caehwf whidcnit  (2) .udwdwa wswvcswf csIrit egumunug (1)	n	
ihWywscnwf	.caehwfwhiDcSwa  (2) .udwdwa wnwv cswf whiDcSwa egumunug (1)	n	
iawvwnWywscnwf	.caehwfwhidwvun  (2) .udwdwa wnwvcswf whidwvun egumunug (1)	n	
csILWywscnwf	.caehwfcsILWs (3) .caehwfwhidurwtwh  (2) .udwdwa wnwvcswf csILWs egumunug (1)	n	
csWscnwf	.whidcswf  (2) .udwdwa wnwv csWscnwf egumunug (1)	n	
iscnwf	.udnwLua itwmwgnwa egurwviduk	n	
uDnwgiscnwf	.iscnwf	n	
uruscnwf	.caeCcaea WrukcnunEb cSwmuheruk  ,iaWSwmuyil wncnoa caeCcaea wlwhwk iledurwh  iawgEret egcaeLok iDukwl wncnoa cSokugidwmih	n	
cswmuruscnwf	.eveawfih  cswmim ,cnudwmudwm uriaWfih cnea .evekehwm ELuairid  iawgEret egukwtwkwrum iaWlwg ,iaWycawgISoturEb  eguLwfuLwf Iaim .caehwm egWliaWA wncnuf	n	
WTemuruscnwf	.WTem wncnuh cnehcaeruscnwf	n	
iSofuruscnwf	.iSof wncnuh iawfiawdwh cSwmulunWmWs  egumuyikeyil wdwfuDnwgitwf iaWruscnwf	n	
itwduruscnwf	.itwdWhwjuruscnwf	n	
cnwlwguruscnwf	.cnwlwg  wncnuh iawfWdwh cnwvcawl ileduruscnwf	n	
itwdWhwjuruscnwf	.itea wncnuh iawfiawdwh  cnwscaEf uLok eguruscnwf cSwtogwncnuh uDnut	n	
cnuhejuruscnwf	.cnuscaEf uLok eguruscnwf cSwtogwncnuh uDnut	m	
wtiDcnwf	.cawtcnwk egutwvWbim Wruk cSwmwkcnwk ikeaikea  wtwvun ileveyik Wvwyik ,udIvwt iSwtWyil	n	
cnehcaelwkEburudeairuhiawfevcsuhwtiDcnwf	.caetog ELuaenub  cSwmuruh wncnuh iawfevcsuh ctog (caehwbulWsim)  .caehwbWrukcnunEb cSwmunub ESwaWmit InEbilcnulcaeg  cnuhwfemcnea cnumuvErea wmwnifiawvWr caemuvEriawbun  Wmit cnEdcaescaek cSwkwhIm (caehwbiLukcsum)		
cnudehwtiDcnwf	.cnuruk cawtcawtcnwk egutwvWbim cSwmwkcnwk ikeaikea  wtwvun ,cnuyiludIvwtiSwt ,cnuveyik ileveyik	m	
cswbwtiDcnwf	.cswburwh wncnuh iawfenub cnuhImuhia :uzWjwm	n	
cnirevwtiDcnwf	.cnuhIm WdwhwtiDcnwf	n	
itofwtiDcnwf	.eveawyik csevECcaof Wlcawgwt cnuhIm  caeawb cSwCcaofim .evekeCcaof egiawlukctwr ,Oberuv  cSwCcaof egiawdWa Iaim .evekeCcaof unuLua cSokcnunEb  cniawnig cSwrwv cSwmuLua iawdwh wtiDcnwf  iawgunWmwzuhia cnIhevid Iaim .itofWlcawgwtctwr	n	
ctofwtiDcnwf	.ctof Wviawfiveyil wtiDcnwf	n	
uDcnwf	.WrWdia WTcawhwlwb cawtcawtcnwk  egumurukudwrwK ,iaWmuTcaeheleb itekwt iaWaWsiawf  wncnuh iawfibil wtwvun ,iawfcSokcaea cSwmurukudwrwK  cSwkwmwk ikwv (2) .itekwt wtwvun Wsiawf wncnuh  iawfcSokcaea cSwmurukudwrwK cSwkwmwk ikwv (1)	n	
whekWhwjcnwf	.iDnwd  WLwa cSwmurukurwh cawtcnwf uriaWLwa cawLuf	n	
iTufijcnwf	.egiduk wncnuh iawfiawdwh cSokwred cnunwf	n	
cnuhejcnwf	.cnuhejcnwvuLok iawgutibctib iaWycawgufwLuf cawLuf	m	
wrwf	.ctWfWa Wlwb (.db) (2) .urwf (1) (.s)	n	
cnureacSwrwf	!Wlwb wnWm wnwv 2 eguhwbim  "cnurua" (2) .cnuaid cnwlihilob (1)	m	
Wlcaifeg	.ilifig (.g)	n	
ilifeg	.ilifig	n	
uLufeg	.wlubiq egcnumilcsum (2) Qcautwbuawk (1)	n	
wdeg	.evekeCcaea WrukcnunEb cSwmuaek  iaWSwhEb Iaim .eveaeruhuduh iaWtwregIm .caeycaev  Wlipctwf iduk wncnuh cSokObctwf EdehcSokirit	n	
iLubwdeg	.caeCcaea cnumih egiawlukuLwk  wncnuh iawfidefua iawgWtcnwt Wrwacnudcniawnig	n	
Wlifwdeg	.wdeg	n	
uDnwgwdeg	.caeDnwgcsEb WrukurWycawt  cnegiawlctwfwdeg cSwmuLea iawguDnwb cnunehcnwa  cnutogegcaeaWvurwf cnegiLug Wmuaehiv (.t)	n	
urodeg	.egEg (2) .iawvWyihELuairid (1)	n	
cnudehurodeg	.cnudehcnwt  cnwtWdwh iawkwTcSwmuLuairid cnunWscnia	m	
cnuLeaurodeg	.cnudeh  ihwvWyih enELuairid (2) .cnudehurodeg (1)	m	
irwteg	.urwvwDnwb (.s)	n	
cnuliteg	.cnubit cnegevurWbihej Wkwkenwa ukwkea	m	
cnuteg	.cnuyiv	m	
urwhwleg	.udwdwa Evelcaeg cnukwdwdwa ea caedwdwa	n	
cnwleg	.everwvcnim egICcnia iDok 231  Iaim .caenim WrukcnunEb cnwnim iheCcaea Wyid	n	
ileg	.Wgiduk (2) .WgEkihun cnunef (1) (.db)	n	
cnuleg	.cnuvurwlwm (.s) (3) .cnulcsig  (.s.N) (2) .cnuvurid (.g) (1)	m	
Ireleg	.WDcnef wncnoa cSokugid  inwh iawgcaetWrWmiA (4) .uDnwgubWsih wncnuh  cawtiDnog eguTekiT oyehugwa iawgunwtcnwt Wkcawd  ufOkcsiawb (3) .wred (2) .wred cnWrEf (1)	n	
uDnwgeg	.ctogWnub cSokwred cSwaeg	n	
cnugeg	.cnuruk  WsWmws (2) .cnurukctWmWlwm (1) (.s)	m	
cseg	.cswg (.s)	n	
eyiTcaevcseg	.WTcawvcswg (.s)	n	
csuawhuTcseg	.eg wncnuh iawfiawdwh  cSwmubit cnuTcsirUT iawguSwrcSwr ELua cnuhIm	n	
cnuTcseg	.cnuhImurEb ELua  csiawa cSwkwtuTOsir (2) .cnuTcsirUT (1)	n	
cnuDeg	.cnuvuLug caeCcaea ed (.s.N)	m	
uTezeg	.caehUn Wruk uaiaWx utWmUluAwm ikeaikea InUnWq  (2) .cnuyil InUnWq EverukuaiaWx (1)	n	
cnurukuTezeg	.cnuren iawguTezeg cSokuqIdcswt caenUnWq	m	
cnuverukuTezeg	.cnuveruk  uaiaWx iawguTezeg egutwluawd uhwfcSwmuvcaeruk  uqIdcswt ukwsIawr wtwvun ukwlwkcswr  caelib WrukcsWf cnusilcjwm egcnutiycawr	m	
cnuvuTezeg	.cnuvuaiaWx cSokumcnWa cnuyil InUnWq	m	
cnuvuTeg	.cnuvuLet (2) .cnuvuleh (1)	m	
cnunwvcSwyeg	.cnuawa cSwaeretEg (2)  .cnuyid cSwkwyegea cnegiawLwa caeaeg cSwlwa (1)	m	
cnuaidcSwyeg	.cnuaid cSwkwnwt  wncnuhWmit (2) .cnuaid cSwnwzwv egWmit (1)	m	
uDnwgoyeg	.umEruf (2) .uDnwguyig (1) (.h)	n	
cnurukurwycawhEg	.cnurukudcnwbiawgEg	m	
cnuvurwycawhEg	.cnuvudcnwb iawgEg	m	
enWvwdwgcSwaegWhEg	.caehwb ELuaenub  cSwmugcnea cnwkenWvwtirwfWm cSwkwnwtea cnutogctog  wlwhwkim Wmugnea cnwtcnwt enElif ,iaWtogenELua  iawgcaenwtea cSwkwywb ELua ,iawgcaenwteaeruvcSwkwywb  wncnwa cnurEb (caehwbiLukcsum)		
ehEg	.csEg (.N.g)	n	
iDnEg	.iDnog (.N)	n	
cnunEg	.cnuvilwburwv eLuaeLua Wkwmwk :uzWjwm (4)  .cnudeh cSwyiDnuk iawtcaWk iawgcaeCcaea wdwfwlit  iDnoginuh iawkwTcSwmudeh cSwNcnuh iSWk (3)  .cnunEgwlwtctih (S) .cnunEgWlek (h) :ulWsim  .cnutcaEk iawgcaeCcaea cnutog egumuruk cnumih  caeCcaea (2) .cnuvitwfcnwk itcaEk caeCcaEd (1)	m	
cnuvunEg	.ctogWrukcnunEb  iawgiawnWm egumuvuruk cswbim cnunEg	m	
cnulcSwrEg	.cnuscaej  cSwrwyig (2) .cnulcSwrwyig (1) (.s)	m	
urEg	.cSodEg (.g) (2) .urwyig (.s) (1)	n	
cnurEg	.cnuSodEg (2) .cnuvurEk (1) (.g)	m	
cnuvurEg	.cnutcaEk (2) .cnuvurEk (1) (.g)	m	
cnuvorEg	.cnutcaEk (.g)	m	
udcnwbEg	.urwycawh  Wruk iawgEg ukwhIm cnutWrwf egurWkurws	n	
cnurukudcnwbEg	.cnuruk  urwycawh iawgEg ukwhIm cnutWrwf egurWkurws	m	
cnuvudcnwbEg	.cnuvurwycawh iawgEg	m	
IsibEg	.cnuhIm ELua  iaobiawk iawkcawk iawgukea ELuairid iawgEgcaea	n	
cnudcnEbEg	.cnuvcaEb (6) .cnurukcnWlcsia  (5) .cnuhejctwfwruk (4) .cnudcnEb (3)  .cnuvcael egctwkwn (2) .cnurukunWtiK (1)	m	
urWniLEg	.urWn egutWrwf  cSwd egurwkwz (.s) (2) .urWnuSwd (1)	n	
iLwvWkEg	(itekwt wdwfWrukcaob wtwvun inOdudwv wtwvun  ,inOdcswm) .ctwlIswv uDnwgiawm EbilInwdcmWa  cSwmuLuairid egcnuhIm egcaeaegea (.s)	n	
cnuveyikEg	.cnuveyik cSwkwtwdcaum  ikwv iawgEg egcaehImea cnumuvurwm ukwhIm (.s)	m	
ehImWncniaEg	.WhImibnwa  (2) .WhIm cnehcnwa wncnia iawgEg (1) (.g)	n	
cnuaEg	.cnunEg (.g)	m	
cnuvEg	.cnunEg (.s.N)	m	
cnuhImEg	.WhImibnwa (3) .cnuhImctWg ELuaiawdwh iaobiawk  edwvcSwaeg (2) :uzWjwm .cnuhIm ELuaiawgEg (1)	n	
cnidukuSodEg	.cnIduk ELua iawgEgEg iriawk iaWaeg	n	
cnuhImuSodEg	.cnireTcSwvwa (3) .cnuhIm uDnwgcnwt  (2) .cnuhIm ELua iawgEgEg iriawk iaWaeg (1)	n	
cSodEg	.eg (2) .ubWsihiriawk iaWaeg (1)	an	
cnuvWgEg	.cnuaehiv (.h)	m	
egEg	.urodeg (2) .cawteg (1)	n	
uDnwgiLoaegEg	.cnunehcnwa egWhImcsia egEg :uzWjwm	n	
csEg	.iawvEdefua iawgEret  eguDnwgiSwh egWnWscnia (6) .caeCcaea wlwhwk  iawv Wvwhiv cnumuhej iawgumwh wtwvun cnumuaid  cSwTcSwh eretea egcnunWscnia wtwvun wncnuh  ctogWfihuLuh Edefua iawguLwvuLwv wncnuh cawtcnwduawm  wlwhwk ikea (5) .caeaWdcaWm Wviawfivelukea  cnukwkwt (cmwTea) Wrcawz Wvcnegibil cnwkiaulwh  WhWd cnegirutef cSwkea cSwkwnwt ilcSokUd caeCcaeaea  (4) .caeaWdcaWm wncnuh cSokWyid WrukcnunEb cnutog  egcaetwlIswv egumurukOr cnWfilwa cSwmurukunUh  iaWSwmulcaid iaWSwmukcaek (3) .cnwjircDiawh  (S) .cnwjisckoa (h) :ulWsim (.eveaenemih  cawtcsEg utWfwt iawgEret egiawv egiawdWa) .caeCcaea  wlwhwkikwv wncnuh cSwtog Wvun cSwkwCcaea Wyid  wtwvun cSwkwCcaea urwTcSoa (2) .ivWa (1)	n	
cnudehcsEg	.cnudefua csEg	m	
urwTwkcsEg	.urWyitwh  ELugcneg cnwfwk uDnwgwd cnurWb eguhEg	n	
cnudnuacsEg	.cnudnua WrukcnunEb cnwkcawk cnuhEg	n	
iLufcsEg	.iLufiawv (4) .iLuf wncnuh iawfiawdwh  cnwLwa csEg Wkcawk (3) .iLufwncnuh iawfcSokudcnwb  csEgWLwa cSwrwTiawlcsEg (2) .urwDcnilis wncnuh  iawfiawdwh cnuDnwgwdOb iawkwTcSwmuLea csEg (1)	n	
urwTiawlcsEg	.eveSwmurukOr ihiCcaea wdwf uTErignis Inwruk  cnunEb cSokumcaWA emcnea .evencnuhEg InElcaid  im .caeCcaea WrukcnunEb cSwmuLea cnWfilwa	n	
ujEg	.cnimOb iaWniminut  egcaeCcaea (2) .caetwlWa ELugcneg cSwmuleb  cnimOb iaWniminut ,iaWSwmuLeacnim (1)	n	
cnugencSwrohog	.cnugen  cnuLokuLokea WhIm cnutog egcaeaWvurwf (.h)	m	
cnureaiawvcSwrohog	.cnudefua iawviawgEret uDnwb  ,cnegeviawhuDnwb cnumuruh WDnwbcsuh (.s)	m	
urohog	.cnwnug  wncnwgwSwairwd :uzWjwm (2) .caeaiLohugid EdiawLug  iaWrod WdumwkuDob csogcnegev umwjwh idwa IdevIhea  cSwmurukumwjwh iheCcaeaWk WnWscnia (1)	n	
Ekurohog	.evekeNcnUd  wncnuh cSokcSwv uDnwgcnut eruv cSwaea cSwywfis  egInUdcswawnis Iaim .caeNcnUd ItwmuDnwk	n	
iawvuLokurohog	.eveaenWvuDob iLwvwrua iawbiawfiawv  cSwyiLwvwrua iawgIlwbim ,caeycawb egILwvwrua	n	
cnuLetWywvurohog	.caehwb  ELuaenub cnumuviawhuDnwb cSwDobWm :uzWjwm	m	
cnuaidcSwlufurohog	.cnuliawmcnin cSokcnunEb :uzWjwm	m	
